DOORS ID,Taipei Circle Line Alarm List (English),Taipei Circle Line Alarm List (Chinese),TWC,CBTC,WSP,MLK,Core,LATS,PSD,SCADA,PSIS,VHD,ALARM EQUATE,Alarm Description (English),Alarm Description (Chinese),Alarm Code Prefix,PRI,Train Status,Territory-Based Y/N,Routing,ACK Policy,Inactive Policy,Inactive Condition,Source Mapping,Subsystem ,Feature,Related Work Item,"""Fixed"" 
Release(s)",Notes
ATS_GA_AL-1,<USER TITLE> Has Transferred Alarms To This User,,,,,,X,,,,,,ALARM_TRANSFER,Alarm generated when an alarm has been transferred to this console from another ATS User.,,A001,5,NA,N,"Dispatcher, Supervisor, SysManager, Maintainer, Instructor, Trainee",Manual,Inactive Condition,Inactive When Acked,Misc ATS,ATS,NA,NA,CORE,
ATS_GA_AL-5,All Platform Hold States Resent On Connection With CBTC System,,,X,,,,,,,,,ALL_PLAT_HOLD_SENT_TO_CBTC,Alarm generated when the ATS Subsystem resends platform hold states to the CBTC Subsystem when communications between the ATS and CBTC Subsystem are established and there are platform holds states in the ATS Subsystem that are not in the CBTC Subsystem.,,A002,4,NA,N,"Dispatcher, Supervisor, SysManager, Maintainer, Instructor, Trainee",Timed,Inactive Timeout (configured time),configured time elapsed,CBTC Message Type 178,ATS,NA,NA,CORE,
ATS_GA_AL-6,All Platform Skip States Resent On Connection With CBTC System ,,,X,,,,,,,,,ALL_PLAT_SKIP_SENT_TO_CBTC,Alarm generated when the ATS Subsystem resends platform skip states to the CBTC Subsystem when communications between the ATS and CBTC Subsystem are established and there are platform holds states in the ATS Subsystem that are not in the CBTC Subsystem.,,A003,4,NA,N,"Dispatcher, Supervisor, SysManager, Maintainer, Instructor, Trainee",Timed,Inactive Timeout (configured time),configured time elapsed,CBTC Message Type 178,ATS,Manage Fire Detection,3340,4.5,
ATS_GA_AL-8,Archive Disk: <COMPUTER> Is Full,,,,,,X,,,,,,AR_FULL,Alarm generated when the archive disk is full.,,A009,2,NA,N,"Dispatcher, Supervisor, SysManager, Maintainer, Instructor, Trainee",Manual,Inactive Condition,Inactive When Acked,Misc ATS,ATS,NA,NA,CORE,
ATS_GA_AL-9,Archive Disk: <COMPUTER> Is Missing,,,,,,X,,,,,,AR_MISSING,Alarm generated when the archive disk is missing.,,A010,2,NA,N,"Dispatcher, Supervisor, SysManager, Maintainer, Instructor, Trainee",Manual,Inactive Condition,Inactive When Acked,Misc ATS,ATS,NA,NA,CORE,
ATS_GA_AL-10,Archive Disk: Disk Is Not Mounted At Mount Point <MPID>; Archiving Is Suspended ,,,,,,X,,,,,,ARCMOUNTALM,Alarm generated when archiving is suspended because a disk is not mounted.,,A011,3,NA,N,"Dispatcher, Supervisor, SysManager, Maintainer, Instructor, Trainee",Manual,Inactive Condition,Inactive When Acked,Misc ATS,ATS,NA,NA,CORE,
ATS_GA_AL-11,Archive Disk: Disk At Mount Point <MPID> Is Reaching Full Capacity; New Disk Must Be Mounted   ,,,,,,X,,,,,,ARCNEWALM,Alarm generated when an archive disk is reaching full capacity.,,A012,3,NA,N,"Dispatcher, Supervisor, SysManager, Maintainer, Instructor, Trainee",Manual,Inactive Condition,Inactive When Acked,Misc ATS,ATS,NA,NA,CORE,
ATS_GA_AL-12,Archive Disk: Disk Is Full At Mount Point <MPID>; Archiving Suspended; New Disk Must Be Mounted ,,,,,,X,,,,,,ARCSTPALM,Alarm generated when archiving is suspended because a disk is full.,,A013,3,NA,N,"Dispatcher, Supervisor, SysManager, Maintainer, Instructor, Trainee",Manual,Inactive Condition,Inactive When Acked,Misc ATS,ATS,NA,NA,CORE,
ATS_GA_AL-15,<CHANNEL> At <PROCESS>: Communication Channel Disconnected ,,,,,,X,,,,,,CHANDOWN,"Alarm generated as the result of a code channel to a port going down. This is the generic message stating that a communications channel is down. This message could be generated as a result of communications going down between the ATS and the IXL, FRONTAM, or other external systems.",,A016,2,NA,N,"Dispatcher, Supervisor, SysManager, Maintainer, Instructor, Trainee",Manual,Inactive Condition,Communication channel down is no longer reported.,Misc ATS,ATS,NA,NA,CORE,
ATS_GA_AL-16,Device Tag <TEXT> At <TRACKING LOC>: Tag Has Expired,,,,,,X,,,,,,DEV_TAG_EXPIRES,Alarm generated when the device tag on a specified device has expired.,,A019,4,NA,N,"Dispatcher, Supervisor, SysManager, Maintainer, Instructor, Trainee",Timed,Inactive Timeout (configured time),configured time elapsed,Misc ATS,ATS,NA,NA,CORE,
ATS_GA_AL-17,Device Tag <TEXT> At <TRACKING LOC>: Tag Will Expire Soon,,,,,,X,,,,,,DEV_TAG_EXPIRES_SOON,Alarm generated when the device tag on a specified device is near expiration.,,A020,4,NA,N,"Dispatcher, Supervisor, SysManager, Maintainer, Instructor, Trainee",Timed,Inactive Timeout (configured time),configured time elapsed,Misc ATS,ATS,NA,NA,CORE,
ATS_GA_AL-18,Device Tag <TEXT> At <TRACKING LOC>: Vehicle Tag For <PVID><TID> Has Expired,,,,,,X,,,,,,DEV_TAG_VEH_TRN_EXPIRES,Alarm generated when the device tag on a specified vehicle has expired.,,A021,4,Minor,N,"Dispatcher, Supervisor, SysManager, Maintainer, Instructor, Trainee",Timed,Inactive Timeout (configured time),configured time elapsed,Misc ATS,ATS,NA,NA,CORE,
ATS_GA_AL-19,Device Tag <TEXT> At <TRACKING LOC>: Vehicle Tag For <PVID><TID> Will Expire Soon,,,,,,X,,,,,,DEV_TAG_VEH_TRN_EXPIRES_SOON,Alarm generated when the device tag on a specified vehicle is near expiration.,,A022,4,Minor,N,"Dispatcher, Supervisor, SysManager, Maintainer, Instructor, Trainee",Timed,Inactive Timeout (configured time),configured time elapsed,Misc ATS,ATS,NA,NA,CORE,
ATS_GA_AL-20,Device Tag <TEXT> At <TRACKING LOC>: Tag Will Expire Soon,,,,,,X,,,,,,DEVICE_TAG_DUE_TO_EXPIRE ,Alarm generated when the Device tag on a specific device is about to expire at the time specified for that Device Tag,,A023,4,NA,Y,"User(s) of the following type who own the territory where the alarm  event occurred:
Dispatcher, Supervisor, SysManager, Maintainer, Instructor, Trainee","T
(configured ack. time)",Inactive Timeout (configured time),Inactive When Acked,Misc ATS,ATS,NA,NA,CORE,
ATS_GA_AL-22,Device Tag <TEXT> At <LOCATION>: Tag Has Expired,,,,,,X,,,,,,DEVICE_TAG_EXPIRED ,Alarm generated when the Device tag on a specific device has expired at the time specified for that Device Tag,,A025,4,NA,Y,"User(s) of the following type who own the territory where the alarm  event occurred:
Dispatcher, Supervisor, SysManager, Maintainer, Instructor, Trainee","T
(configured ack. time)",Inactive Timeout (configured time),Inactive When Acked,Misc ATS,ATS,NA,NA,CORE,
ATS_GA_AL-24,Host <COMPUTER>: Disconnection Detected ,,,,,,X,,,,,,DOWNHOST,Alarm generated when it detects the failure of another computer. For a machine such as a server; this would result in a loss of redundancy.,,A027,4,NA,N,"Dispatcher, Supervisor, SysManager, Maintainer, Instructor, Trainee",Timed,Inactive Timeout (configured time),configured time elapsed,Misc ATS,ATS,NA,NA,CORE,
ATS_GA_AL-25,Host <COMPUTER>: Disconnection Detected On <CHANNEL1>,,,,,,X,,,,,,DOWNLINK,Alarm generated when a computer detects that its network connection to another computer has failed.,,A028,5,NA,N,"Dispatcher, Supervisor, SysManager, Maintainer, Instructor, Trainee",Timed,Inactive Timeout (configured time),configured time elapsed,Misc ATS,ATS,NA,NA,CORE,
ATS_GA_AL-28,Host <COMPUTER>: Events Are Not Being Logged Properly; Contact System Administrator,,,,,,X,,,,,,ELA_ERROR,Alarm generated when a failure is detected with the system logging process.,,A031,5,NA,N,"Dispatcher, Supervisor, SysManager, Maintainer, Instructor, Trainee",Timed,Inactive Timeout (configured time),configured time elapsed,Misc ATS,ATS,NA,NA,CORE,
ATS_GA_AL-29,Archive Disk: Number Of Files On Archive Disk Exceeds Limit On Host <COMPUTER>,,,,,,X,,,,,,FILE_OVERFLOW,Alarm generated when the maximum number of files on the archive disk is exceeded.,,A032,5,NA,N,"Dispatcher, Supervisor, SysManager, Maintainer, Instructor, Trainee",Timed,Inactive Timeout (configured time),configured time elapsed,Misc ATS,ATS,NA,NA,CORE,
ATS_GA_AL-36,PSDS At <TRACKING LOC>:  Door Alarm Deactivation Is Enabled,,,,,,,,X,,,,FRTM_ACKNOWLEDGEABLE_PSD_ALARM,Alarm generated when the deactivation of platform screen door alarm enabled is reported.,,A039,2,NA,N,"Dispatcher, Supervisor, SysManager, Instructor, Trainee",default,default,default,Misc IXL,ATS,NA,NA,CORE,
ATS_GA_AL-37,PSDS At <TRACKING LOC>: Door Malfunction Is Detected,,,,,,,,X,,,,FRTM_PSD_ALARM,Alarm generated when a platform screen door malfunction is reported by the FrontAm system.,,A040,1,Serious,N,"Dispatcher, Supervisor, SysManager, Instructor, Trainee",default,default,default,Misc IXL,ATS,NA,NA,CORE,
ATS_GA_AL-38,Host <COMPUTER>: Host Is Isolated From Network,,,,,,X,,,,,,HOSTISOLATED,Alarm generated by a computer when it detects that it is isolated from the rest of the network (i.e. this computer has no connection/communication with any other computers).,,A041,5,NA,N,"Dispatcher, Supervisor, SysManager, Maintainer, Instructor, Trainee",Timed,Inactive Timeout (configured time),configured time elapsed,Misc ATS,ATS,NA,NA,CORE,
ATS_GA_AL-42,Host <COMPUTER>: Log Disk Is Full,,,,,,X,,,,,,LOG_FULL,Alarm generated when the data disk is full. This is usually caused by log files not being moved from the data disk to the archive disk which is due to a full archive disk.,,A044,1,NA,N,"Dispatcher, Supervisor, SysManager, Maintainer, Instructor, Trainee",Manual,Always Inactive,NA,Misc ATS,ATS,NA,NA,CORE,
ATS_GA_AL-43,<PVID><TID> At <TRACKING LOC>: Train Is Lost,,,,,,X,,,,,,LOST_ALM,Alarm generated when the train tracking task reports a tracking ID on a track without a track occupancy.,,A045,1,Serious,Y,User(s) who owns the territory where the alarm  event occurred,Manual,Inactive Condition,Tracking ID on a track without a track occupancy is no longer reported.,Misc ATS,ATS,NA,NA,CORE,
ATS_GA_AL-49,Schedule Download Failed ,,,,,,X,,,,,,SCHEDULE_DOWNLOAD_FAILED,Alarm generated by VR when a schedule download fails.,,A051,4,NA,N,"Dispatcher, Supervisor, SysManager, Maintainer, Instructor, Trainee",Timed,Inactive Timeout (configured time),configured time elapsed,Misc ATS,ATS,NA,NA,CORE,
ATS_GA_AL-50,Schedule Download Successful ,,,,,,X,,,,,,SCHEDULE_DOWNLOAD_SUCCESS,Alarm generated by VR when a schedule download is successfully completed. This alarm is only generated after the previous download attempt failed.,,A052,5,NA,N,"Dispatcher, Supervisor, SysManager, Maintainer, Instructor, Trainee",Timed,Inactive Timeout (configured time),configured time elapsed,Misc ATS,ATS,NA,NA,CORE,
